,state,population,median_rent
2,Alabama,4863300,717
3,Alaska,741894,1146
4,Arizona,6931071,913
5,Arkansas,2988248,677
6,California,39250017,1255
7,Colorado,5540545,1002
8,Connecticut,3576452,1075
9,Delaware,952065,1018
10,Florida,20612439,1002
11,Georgia,10310371,879
12,Hawaii,1428557,1438
13,Idaho,1683140,743
14,Illinois,12801539,907
15,Indiana,6633053,745
16,Iowa,3134693,697
17,Kansas,2907289,757
18,Kentucky,4436974,675
19,Louisiana,4681666,788
20,Maine,1331479,777
21,Maryland,6016447,1230
22,Massachusetts,6811779,1102
23,Michigan,9928300,783
24,Minnesota,5519952,848
25,Mississippi,2988726,717
26,Missouri,6093000,746
27,Montana,1042520,711
28,Nebraska,1907116,726
29,Nevada,2940058,973
30,New Hampshire,1334795,1000
31,New Jersey,8944469,1192
32,New Mexico,2081015,777
33,New York,19745289,1132
34,North Carolina,10146788,797
35,North Dakota,757952,709
36,Ohio,11614373,730
37,Oklahoma,3923561,727
38,Oregon,4093465,907
39,Pennsylvania,12784227,840
40,Rhode Island,1056426,925
41,South Carolina,4961119,790
42,South Dakota,865454,655
43,Tennessee,6651194,764
44,Texas,27862596,882
45,Utah,3051217,887
46,Vermont,624594,895
47,Virginia,8411808,1116
48,Washington,7288000,1014
49,West Virginia,1831102,643
50,Wisconsin,5778708,776
51,Wyoming,585501,789
