,month,state,permit,totals,handgun,long_gun,multiple
0,2020-08,Alabama,35838.0,85347,26449.0,16913.0,1075
1,2020-08,Alaska,143.0,9363,4088.0,4113.0,254
2,2020-08,Arizona,9377.0,54095,25375.0,12472.0,2316
3,2020-08,Arkansas,3266.0,23980,9821.0,7421.0,389
4,2020-08,California,33056.0,145797,65196.0,38505.0,0
5,2020-08,Colorado,11194.0,57388,25765.0,16476.0,1610
6,2020-08,Connecticut,7600.0,17534,5952.0,2014.0,0
7,2020-08,Delaware,493.0,6367,3402.0,1919.0,111
8,2020-08,District of Columbia,936.0,1541,550.0,5.0,1
9,2020-08,Florida,35826.0,167138,85345.0,30914.0,3193
10,2020-08,Georgia,32131.0,75656,26176.0,12198.0,1821
11,2020-08,Guam,0.0,256,151.0,39.0,9
12,2020-08,Hawaii,1622.0,1623,0.0,0.0,0
13,2020-08,Idaho,3555.0,19797,7860.0,6811.0,373
14,2020-08,Illinois,39261.0,587224,28864.0,13330.0,1458
15,2020-08,Indiana,1199.0,206454,28843.0,16235.0,1038
16,2020-08,Iowa,8567.0,17660,242.0,3223.0,6
17,2020-08,Kansas,1491.0,18687,8851.0,6423.0,434
18,2020-08,Kentucky,2318.0,39157,18531.0,10985.0,701
19,2020-08,Louisiana,1879.0,32594,16826.0,10171.0,843
20,2020-08,Maine,563.0,10576,4734.0,4555.0,242
21,2020-08,Mariana Islands,0.0,16,9.0,6.0,0
22,2020-08,Maryland,10133.0,27273,8270.0,7807.0,4
23,2020-08,Massachusetts,12657.0,24176,6756.0,3557.0,304
24,2020-08,Michigan,28773.0,102703,35892.0,23104.0,905
25,2020-08,Minnesota,26910.0,83801,17297.0,15193.0,631
26,2020-08,Mississippi,2773.0,31482,15129.0,10518.0,585
27,2020-08,Missouri,4203.0,53388,26351.0,17461.0,1115
28,2020-08,Montana,1928.0,13882,5066.0,5441.0,255
29,2020-08,Nebraska,5990.0,8606,140.0,2280.0,2
30,2020-08,Nevada,4578.0,19831,9541.0,3884.0,488
31,2020-08,New Hampshire,1635.0,12934,6952.0,4034.0,1
32,2020-08,New Jersey,0.0,16954,10002.0,6258.0,0
33,2020-08,New Mexico,822.0,16672,8580.0,5360.0,378
34,2020-08,New York,3065.0,42443,10163.0,22460.0,510
35,2020-08,North Carolina,51670.0,77846,2534.0,18885.0,166
36,2020-08,North Dakota,666.0,7060,2503.0,3428.0,103
37,2020-08,Ohio,18116.0,80387,37224.0,19937.0,1356
38,2020-08,Oklahoma,2784.0,34218,15728.0,10666.0,951
39,2020-08,Oregon,5793.0,40503,21080.0,12694.0,12
40,2020-08,Pennsylvania,36025.0,131205,69325.0,24361.0,0
41,2020-08,Puerto Rico,0.0,3152,2441.0,250.0,30
42,2020-08,Rhode Island,0.0,4235,1842.0,1081.0,351
43,2020-08,South Carolina,11598.0,41169,17111.0,9137.0,527
44,2020-08,South Dakota,824.0,9280,3700.0,4105.0,152
45,2020-08,Tennessee,11438.0,77894,35007.0,21069.0,0
46,2020-08,Texas,50347.0,188091,77807.0,43770.0,2967
47,2020-08,Utah,20777.0,131552,6483.0,5303.0,0
48,2020-08,Vermont,0.0,4345,2128.0,1898.0,105
49,2020-08,Virgin Islands,37.0,62,22.0,2.0,0
50,2020-08,Virginia,900.0,62251,36314.0,20016.0,0
51,2020-08,Washington,16546.0,66713,28536.0,14497.0,32
52,2020-08,West Virginia,3176.0,19728,7487.0,6958.0,345
53,2020-08,Wisconsin,18816.0,65771,28102.0,15908.0,39
54,2020-08,Wyoming,522.0,7370,3080.0,3188.0,128
55,2020-07,Alabama,48126.0,107490,34909.0,17250.0,1170
56,2020-07,Alaska,69.0,10108,4949.0,3779.0,283
57,2020-07,Arizona,9402.0,60330,31040.0,12361.0,2866
58,2020-07,Arkansas,4292.0,27647,12391.0,7322.0,432
59,2020-07,California,35097.0,149685,67672.0,38618.0,0
60,2020-07,Colorado,11124.0,59666,29171.0,15184.0,1695
61,2020-07,Connecticut,8500.0,19494,6815.0,2062.0,0
62,2020-07,Delaware,445.0,6935,4034.0,1840.0,142
63,2020-07,District of Columbia,575.0,898,296.0,11.0,0
64,2020-07,Florida,33826.0,190975,106745.0,33102.0,3832
65,2020-07,Georgia,37840.0,96979,38413.0,13344.0,3368
66,2020-07,Guam,0.0,385,227.0,85.0,19
67,2020-07,Hawaii,1840.0,1841,0.0,0.0,0
68,2020-07,Idaho,6450.0,23392,8813.0,6337.0,388
69,2020-07,Illinois,42167.0,714424,31853.0,12250.0,1360
70,2020-07,Indiana,1117.0,176861,32970.0,15066.0,1083
71,2020-07,Iowa,11431.0,19035,248.0,2685.0,6
72,2020-07,Kansas,2125.0,20532,10300.0,6071.0,415
73,2020-07,Kentucky,1481.0,292534,20962.0,10578.0,759
74,2020-07,Louisiana,1932.0,42103,24074.0,11374.0,1263
75,2020-07,Maine,664.0,10688,5163.0,4049.0,257
76,2020-07,Mariana Islands,0.0,21,13.0,6.0,1
77,2020-07,Maryland,9374.0,26326,7905.0,8023.0,4
78,2020-07,Massachusetts,13334.0,23816,6238.0,3114.0,257
79,2020-07,Michigan,28959.0,109466,44270.0,21710.0,1070
80,2020-07,Minnesota,27663.0,79160,17856.0,11371.0,636
81,2020-07,Mississippi,3486.0,35159,19196.0,8971.0,573
82,2020-07,Missouri,5289.0,60576,31991.0,17146.0,1343
83,2020-07,Montana,1971.0,13741,5472.0,4926.0,289
84,2020-07,Nebraska,6481.0,8913,135.0,1929.0,4
85,2020-07,Nevada,3978.0,21769,11920.0,3949.0,594
86,2020-07,New Hampshire,1666.0,13743,7918.0,3788.0,1
87,2020-07,New Jersey,0.0,14414,7656.0,6172.0,0
88,2020-07,New Mexico,195.0,17525,10102.0,5084.0,447
89,2020-07,New York,3266.0,44795,11400.0,23105.0,519
90,2020-07,North Carolina,54287.0,82831,2865.0,20322.0,196
91,2020-07,North Dakota,606.0,6731,2702.0,2942.0,128
92,2020-07,Ohio,18219.0,86125,43645.0,18865.0,1434
93,2020-07,Oklahoma,2873.0,38922,19294.0,10955.0,1164
94,2020-07,Oregon,5945.0,41314,22479.0,11897.0,7
95,2020-07,Pennsylvania,41217.0,142966,77854.0,22276.0,0
96,2020-07,Puerto Rico,0.0,2908,2283.0,256.0,34
97,2020-07,Rhode Island,0.0,4303,2079.0,1142.0,406
98,2020-07,South Carolina,11394.0,46905,23255.0,8726.0,626
99,2020-07,South Dakota,788.0,8612,3609.0,3222.0,164
100,2020-07,Tennessee,13825.0,99943,42011.0,20831.0,0
